3|AD|||42.5|1.5
4|AD|05||42.5333|1.5333
5|AD|06||42.4667|1.5
6|AD|07|Andorra La Vella|42.5|1.5167
7|AD|02|Canillo|42.5667|1.6
8|AD|03|Encamp|42.5333|1.5833
9|AD|08|Engordany|42.5167|1.55
10|AD|04|La Massana|42.55|1.5167
11|AD|05|Ordino|42.55|1.5333
12|AE|||24|54
13|AE|01|Abu Dhabi|24.4667|54.3667
14|AE|01|Al Ain|24.1917|55.7606
15|AE|01|Al Faq|24.7142|55.6242
16|AE|05|Al Hamra|25.7083|55.7972
17|AE|01|As Slabeikh|24.1833|55.2167
18|AE|03|Deira|25.2722|55.3111
19|AE|07|Dhaid|25.2822|55.8903
20|AE|03|Dubai|25.2522|55.28
21|AE|04|Fujairah|25.1231|56.3375
22|AE|06|Kalba|25.0731|56.3578
23|AE|05|Khaimah|25.7911|55.9428
24|AE|05|Maghribiyah|25.2|56.05
25|AE|05|Ras Al Khaimah|25.7911|55.9428
26|AE|06|Sharjah|25.3622|55.3911
27|AE|01|Suwayhan|24.4633|55.3414
28|AF|||33|65
29|AF|22|Bagram|34.9661|69.2547
30|AF|05|Bamyan|34.8167|67.8167
31|AF|11|Herat|34.345|62.1997
32|AF|18|Jalalabad|34.4303|70.4528
33|AF|13|Kabul|34.5167|69.1833
34|AF|23|Kandahar|31.6078|65.7053
35|AF|24|Kunduz|36.7283|68.8686
36|AF|33|Mazar|35.8183|66.8033
37|AF|22|Parwan|35.1161|69.2392
38|AF|26|Talugan|36.7344|69.5392
39|AG|||17.05|-61.8
40|AG|06|All Saints|17.05|-61.8
41|AG|05|Bolans|17.0333|-61.8833
42|AG|03|Carlisle|17.1333|-61.8
43|AG|04|Clare Hall|17.1167|-61.8167
44|AG|04|Crosbies|17.1667|-61.8167
45|AG|05|Old Road|17.0167|-61.8333
46|AG|07|Parham|17.0833|-61.7667
47|AG|04|Saint John|17.1167|-61.85
48|AG|04|Saint John|17.1167|-61.85
49|AG|04|Woods|17.1333|-61.8167
50|AI|||18.25|-63.1667
51|AI|00|George Hill|18.2|-63.0667
52|AI|00|The Valley|18.2167|-63.05
53|AL|||41|20
54|AL|40||40.8003|19.9167
55|AL|43||41.1861|20.1819
56|AL|44||40.9419|19.705
57|AL|46||40.6186|20.7808
58|AL|48||41.8092|19.7847
59|AL|49||42.0675|19.5131
60|AL|50||41.3275|19.8189
61|AL|51||40.4667|19.4897
62|AL|41|Burrel|41.6103|20.0089
63|AL|44|Gora|40.8589|19.6347
64|AL|48|Mamurras|41.5775|19.6922
65|AL|43|Peqin|41.0461|19.7511
66|AL|50|Tirana|41.3275|19.8189
67|AM|||40|45
68|AM|05|Abovyan|40.2692|44.6244
69|AM|07|Amasia|40.9467|43.7814
70|AM|06|Apaven|41.2|44.35
71|AM|02|Ararat|39.8094|44.7144
